==12434== NVPROF is profiling process 12434, command: ./srad
==12434== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==12434== Profiling application: ./srad
==12434== Profiling result:
==12434== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg","Total"
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"fb_subp0_write_sectors",20,28,24,1217
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"fb_subp1_write_sectors",4,12,8,404
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"fb1_subp0_read_sectors",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"fb1_subp1_read_sectors",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"fb1_subp0_write_sectors",12,28,19,996
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"fb1_subp1_write_sectors",8,24,12,640
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"l2_subp0_write_sector_misses",32,52,44,2213
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"l2_subp1_write_sector_misses",20,36,29,1468
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"l2_subp0_read_sector_misses",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"l2_subp1_read_sector_misses",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"l2_subp0_read_tex_sector_queries",10684,10719,10699,534965
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"l2_subp1_read_tex_sector_queries",10454,10470,10468,523404
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"l2_subp0_write_tex_sector_queries",6864,6864,6864,343200
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"l2_subp1_write_tex_sector_queries",6960,6960,6960,348000
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"l2_subp0_read_tex_hit_sectors",10684,10772,10702,535112
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"l2_subp1_read_tex_hit_sectors",10454,10470,10467,523372
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"l2_subp0_write_tex_hit_sectors",6864,6864,6864,343200
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"l2_subp1_write_tex_hit_sectors",6960,6960,6960,348000
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"l2_subp0_total_read_sector_queries",12116,12150,12127,606363
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"l2_subp1_total_read_sector_queries",11592,11592,11592,579600
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"l2_subp0_total_write_sector_queries",6936,6940,6938,346912
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"l2_subp1_total_write_sector_queries",6963,6967,6964,348238
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"l2_subp0_read_sysmem_sector_queries",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"l2_subp1_read_sysmem_sector_queries",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"l2_subp0_write_sysmem_sector_queries",0,4,1,92
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"l2_subp1_write_sysmem_sector_queries",1,5,3,158
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"gld_inst_8bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"gld_inst_16bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"gld_inst_32bit",199680,199680,199680,9984000
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"gld_inst_64bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"gld_inst_128bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"gst_inst_8bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"gst_inst_16bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"gst_inst_32bit",77824,77824,77824,3891200
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"gst_inst_64bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"gst_inst_128bit",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"prof_trigger_00",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"prof_trigger_01",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"prof_trigger_02",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"prof_trigger_03",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"prof_trigger_04",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"prof_trigger_05",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"prof_trigger_06",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"prof_trigger_07",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"warps_launched",512,512,512,25600
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"inst_issued0",922073,1601248,1054519,52725987
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"inst_issued1",175452,175658,175541,8777062
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"inst_issued2",28461,28498,28477,1423851
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"inst_executed",229644,229996,229716,11485848
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"thread_inst_executed",7074400,7074760,7074465,353723268
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"not_predicated_off_thread_inst_executed",6750896,6757774,6754068,337703416
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"global_load",6581,6618,6594,329727
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"global_store",2434,2434,2434,121700
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"generic_load",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"generic_store",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"inst_executed_in_trap",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"active_cycles_in_trap",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"local_store",1024,1024,1024,51200
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"local_load",1024,1024,1024,51200
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"shared_load",4864,4864,4864,243200
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"shared_store",5344,5344,5344,267200
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"inst_executed_shared_atom_cas",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"shared_atom",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"global_atom_cas",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"atom_count",64,64,64,3200
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"gred_count",2,2,2,100
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"divergent_branch",1248,1248,1248,62400
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"branch",39077,39133,39092,1954640
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"shared_ld_bank_conflict",1440,1440,1440,72000
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"shared_st_bank_conflict",0,0,0,0
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"shared_ld_transactions",6304,6304,6304,315200
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"shared_st_transactions",5326,5344,5341,267052
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"active_cycles",563142,902747,629369,31468471
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"elapsed_cycles_sm",1021186,1459118,1107234,55361702
"Tesla P100-SXM2-16GB (0)","srad_cuda_3(srad_params)",50,"active_warps",5137509,5291384,5179895,258994764
